trip_distance,fare_amount,tip_amount,total_amount,passenger_count,payment_type,pickup_datetime,dropoff_datetime
0.07,0.6,0,0.9,2,2,2018-01-01 20:36:54.000000 UTC,2018-01-01 20:37:01.000000 UTC
0.6,2,0,3.3,1,2,2018-01-08 04:13:11.000000 UTC,2018-01-08 04:14:30.000000 UTC
0.2,2,0,2.8,1,2,2018-01-09 15:09:38.000000 UTC,2018-01-09 15:10:53.000000 UTC
4.43,0.1,0,0.4,1,2,2018-01-26 21:48:50.000000 UTC,2018-01-26 22:05:42.000000 UTC
0.01,0.09,0,0.89,1,2,2018-01-10 23:51:47.000000 UTC,2018-01-10 23:53:17.000000 UTC
1.4,0.01,0,0.31,2,3,2018-01-25 14:32:19.000000 UTC,2018-01-25 14:49:56.000000 UTC
0.1,0.01,0,0.31,1,2,2018-01-18 17:56:44.000000 UTC,2018-01-18 17:57:57.000000 UTC
19.5,0.01,0,0.31,1,3,2018-01-20 15:50:08.000000 UTC,2018-01-20 16:55:14.000000 UTC
0.5,0.01,0,0.31,1,2,2018-01-01 01:26:12.000000 UTC,2018-01-01 01:30:50.000000 UTC
0.2,0.01,0,0.31,2,2,2018-01-16 15:02:38.000000 UTC,2018-01-16 15:03:51.000000 UTC
8.2,0.01,0,0.31,1,4,2018-01-26 19:07:33.000000 UTC,2018-01-26 19:55:51.000000 UTC
0.1,0.01,0,0.31,1,3,2018-01-05 20:35:22.000000 UTC,2018-01-05 20:36:08.000000 UTC
13.3,0.01,0,0.31,1,2,2018-01-30 22:17:02.000000 UTC,2018-01-30 22:40:23.000000 UTC
0.3,0.01,0,0.31,1,2,2018-01-11 20:03:09.000000 UTC,2018-01-11 20:04:14.000000 UTC
0.9,0.01,0,0.31,1,3,2018-01-17 01:46:14.000000 UTC,2018-01-17 02:23:51.000000 UTC
0.1,0.01,0,0.31,1,3,2018-01-15 08:39:29.000000 UTC,2018-01-15 08:40:08.000000 UTC
0.2,0.01,0,0.31,1,3,2018-01-06 18:45:08.000000 UTC,2018-01-06 18:47:48.000000 UTC
0.1,0.01,0,0.31,1,2,2018-01-12 07:54:14.000000 UTC,2018-01-12 07:55:03.000000 UTC
0.4,0.01,0,0.31,4,2,2018-01-12 22:06:44.000000 UTC,2018-01-12 22:08:01.000000 UTC
4.3,0.01,0,0.31,1,2,2018-01-25 00:29:42.000000 UTC,2018-01-25 00:50:04.000000 UTC
17.2,0.01,0,0.31,2,2,2018-01-03 17:33:03.000000 UTC,2018-01-03 18:28:57.000000 UTC
1.5,0.01,0,0.31,1,2,2018-01-11 10:51:51.000000 UTC,2018-01-11 11:15:11.000000 UTC
0.8,0.01,0,0.31,1,3,2018-01-15 14:40:54.000000 UTC,2018-01-15 14:41:51.000000 UTC
0.2,0.01,0,0.31,1,2,2018-01-05 02:17:55.000000 UTC,2018-01-05 04:19:46.000000 UTC
3.1,0.01,0,0.31,1,3,2018-01-24 22:56:58.000000 UTC,2018-01-24 23:20:55.000000 UTC
0.3,0.01,0,0.31,1,3,2018-01-07 16:33:03.000000 UTC,2018-01-07 16:35:23.000000 UTC
0.1,0.01,0,0.31,1,2,2018-01-09 06:54:30.000000 UTC,2018-01-09 06:55:11.000000 UTC
0.3,0.01,0,0.31,1,3,2018-01-08 22:37:06.000000 UTC,2018-01-08 22:46:55.000000 UTC
0.03,0.01,0,0.31,1,2,2018-01-08 10:10:58.000000 UTC,2018-01-08 10:20:51.000000 UTC
0.1,0.01,0,0.31,1,2,2018-01-07 11:51:36.000000 UTC,2018-01-07 11:51:54.000000 UTC
39.16,0.01,0,0.81,2,2,2018-01-03 17:26:24.000000 UTC,2018-01-03 22:06:23.000000 UTC
2.5,0.01,11.8,70.87,1,1,2018-01-31 11:12:52.000000 UTC,2018-01-31 11:25:38.000000 UTC
16.3,0.01,0,11.83,1,2,2018-01-28 01:08:56.000000 UTC,2018-01-28 01:53:15.000000 UTC
3.8,0.01,55,67.81,1,1,2018-01-08 09:40:36.000000 UTC,2018-01-08 09:59:41.000000 UTC
14.6,0.01,0,10.81,4,3,2018-01-02 14:26:02.000000 UTC,2018-01-02 15:03:37.000000 UTC
0.2,0.01,21,21.31,1,1,2018-01-31 12:00:13.000000 UTC,2018-01-31 12:03:29.000000 UTC
2.59,0.05,0,0.35,4,2,2018-01-26 22:25:15.000000 UTC,2018-01-26 22:43:51.000000 UTC
4.77,0.05,0,0.35,5,2,2018-01-28 18:54:09.000000 UTC,2018-01-28 19:31:52.000000 UTC
5.3,128,20,148.3,1,1,2018-01-23 20:47:45.000000 UTC,2018-01-23 20:48:47.000000 UTC
14.7,54.5,0,55.3,2,2,2018-01-07 09:42:05.000000 UTC,2018-01-07 10:53:24.000000 UTC
11.68,54.5,0,55.3,1,2,2018-01-25 13:48:32.000000 UTC,2018-01-25 15:08:17.000000 UTC
17.57,54.5,0,55.3,1,1,2018-01-29 08:12:47.000000 UTC,2018-01-29 09:16:21.000000 UTC
16.29,54.5,0,55.3,1,2,2018-01-12 13:38:45.000000 UTC,2018-01-12 14:12:16.000000 UTC
20.2,54.5,0,55.3,2,2,2018-01-13 18:33:17.000000 UTC,2018-01-13 19:14:16.000000 UTC
