Month,OTR,% of services cancelled,Untracked trips,Complaints per 100K,Driver Vacancies,Most recent month,Region,Mode,FY,Year
Jul-23,94.9%,1.9%,8.4%,23.2,381,0,GS,Bus,FY24,2023
Aug-23,94.0%,1.3%,7.6%,22.0,420,0,GS,Bus,FY24,2023
Sep-23,94.6%,1.1%,7.6%,17.4,373,0,GS,Bus,FY24,2023
Oct-23,94.2%,1.0%,8.5%,18.2,320,0,GS,Bus,FY24,2023
Nov-23,93.3%,1.2%,9.3%,19.4,292,0,GS,Bus,FY24,2023
Dec-23,94.4%,0.7%,7.3%,17.4,248,0,GS,Bus,FY24,2023
Jan-24,96.1%,0.6%,9.7%,15.1,257,0,GS,Bus,FY24,2024
Feb-24,91.8%,1.3%,11.8%,30.4,272,0,GS,Bus,FY24,2024
Mar-24,92.7%,0.9%,11.8%,24.8,303,0,GS,Bus,FY24,2024
Apr-24,94.2%,0.7%,9.0%,19.2,294,0,GS,Bus,FY24,2024
May-24,93.1%,1.0%,8.4%,23.3,271,0,GS,Bus,FY24,2024
Jun-24,94.3%,1.0%,7.8%,21.4,263,0,GS,Bus,FY24,2024
Jul-24,95.6%,0.7%,6.8%,18.3,251,0,GS,Bus,FY25,2024
Aug-24,94.0%,0.7%,6.6%,23.0,231,0,GS,Bus,FY25,2024
Sep-24,94.5%,0.7%,5.8%,20.2,175,0,GS,Bus,FY25,2024
Oct-24,94.5%,0.8%,6.0%,19.6,186,0,GS,Bus,FY25,2024
Nov-24,93.3%,1.1%,4.9%,22.4,176,0,GS,Bus,FY25,2024
Dec-24,94.5%,0.8%,4.9%,18.7,146,0,GS,Bus,FY25,2024
Jan-25,96.3%,0.5%,4.5%,,135,0,GS,Bus,FY25,2025
Feb-25,92.4%,1.3%,4.9%,,155,0,GS,Bus,FY25,2025
Mar-25,93.0%,1.3%,5.4%,26.9,146,0,GS,Bus,FY25,2025
Apr-25,94.3%,1.0%,4.4%,20.0,118,0,GS,Bus,FY25,2025
May-25,92.9%,1.4%,4.6%,23.4,132,1,GS,Bus,FY25,2025
Jun-25,,,,,,,GS,Bus,FY25,2025
Jul-23,96.6%,0.2%,7.6%,22.7,105,0,ROM,Bus,FY24,2023
Aug-23,96.3%,0.4%,8.4%,29.2,100,0,ROM,Bus,FY24,2023
Sep-23,96.7%,0.5%,8.3%,25.7,99,0,ROM,Bus,FY24,2023
Oct-23,96.1%,0.4%,9.2%,24.6,78,0,ROM,Bus,FY24,2023
Nov-23,96.4%,0.4%,9.3%,24.8,67,0,ROM,Bus,FY24,2023
Dec-23,96.6%,0.2%,5.4%,22.1,61,0,ROM,Bus,FY24,2023
Jan-24,97.8%,0.1%,5.9%,18.4,45,0,ROM,Bus,FY24,2024
Feb-24,94.6%,0.5%,10.2%,39.5,66,0,ROM,Bus,FY24,2024
Mar-24,95.0%,0.6%,13.3%,33.2,76,0,ROM,Bus,FY24,2024
Apr-24,95.9%,0.3%,8.8%,21.1,62,0,ROM,Bus,FY24,2024
May-24,95.2%,0.9%,7.9%,32.3,54,0,ROM,Bus,FY24,2024
Jun-24,96.0%,0.5%,9.2%,27.1,59,0,ROM,Bus,FY24,2024
Jul-24,96.8%,0.4%,6.4%,26.8,39,0,ROM,Bus,FY25,2024
Aug-24,95.8%,0.6%,6.5%,28.5,39,0,ROM,Bus,FY25,2024
Sep-24,96.1%,0.4%,5.1%,25.6,41,0,ROM,Bus,FY25,2024
Oct-24,96.3%,0.5%,5.2%,29.7,52,0,ROM,Bus,FY25,2024
Nov-24,95.6%,0.4%,4.5%,28.9,65,0,ROM,Bus,FY25,2024
Dec-24,96.1%,0.2%,4.1%,27.0,46,0,ROM,Bus,FY25,2024
Jan-25,97.8%,0.1%,3.6%,,51,0,ROM,Bus,FY25,2025
Feb-25,94.3%,0.3%,4.0%,,68,0,ROM,Bus,FY25,2025
Mar-25,94.6%,0.3%,4.4%,36.9,42,0,ROM,Bus,FY25,2025
Apr-25,95.4%,1.0%,19.1%,25.1,43,0,ROM,Bus,FY25,2025
May-25,92.9%,0.9%,19.5%,29.5,48,1,ROM,Bus,FY25,2025
Jun-25,,,,,,,ROM,Bus,FY25,2025
