Year_Month,Card Type,Travel_Mode,Trip
2024-01,Adult,Ferry,504780
2024-01,Adult,Light Rail,1203585
2024-01,Adult,Metro,709103
2024-01,Adult,Train,9987934
2024-01,Adult,unallocated,5
2024-01,CTP,Ferry,917501
2024-01,CTP,Light Rail,1366699
2024-01,CTP,Metro,513133
2024-01,CTP,Train,8608350
2024-01,CTP,unallocated,8
2024-01,CTP,unallocated,1
2024-01,Child/Youth,Ferry,175863
2024-01,Child/Youth,Light Rail,190537
2024-01,Child/Youth,Metro,154316
2024-01,Child/Youth,Train,1029984
2024-01,Child/Youth,unallocated,1
2024-01,Concession,Ferry,19658
2024-01,Concession,Light Rail,98008
2024-01,Concession,Metro,84711
2024-01,Concession,Train,725147
2024-01,Day Pass Child/Youth w/o SAF,Ferry,1
2024-01,Day Pass Child/Youth w/o SAF,Light Rail,8
2024-01,Day Pass Child/Youth w/o SAF,Train,20
2024-01,Day Pass without SAF,Ferry,55
2024-01,Day Pass without SAF,Light Rail,79
2024-01,Day Pass without SAF,Metro,21
2024-01,Day Pass without SAF,Train,973
2024-01,Employee,Ferry,4789
2024-01,Employee,Light Rail,9363
2024-01,Employee,Metro,7477
2024-01,Employee,Train,177193
2024-01,Free Travel,Ferry,1978
2024-01,Free Travel,Light Rail,2929
2024-01,Free Travel,Metro,1198
2024-01,Free Travel,Train,20322
2024-01,School Student,Ferry,617
2024-01,School Student,Light Rail,1350
2024-01,School Student,Metro,3271
2024-01,School Student,Train,23876
2024-01,Senior/Pensioner,Ferry,211877
2024-01,Senior/Pensioner,Light Rail,402535
2024-01,Senior/Pensioner,Metro,133445
2024-01,Senior/Pensioner,Train,2191128
2024-01,Senior/Pensioner,unallocated,1
2024-01,Sgl Trip Ferry Adult,Ferry,39508
2024-01,Sgl Trip Ferry Child/Youth,Ferry,26479
2024-01,Sgl Trip LR Adult,Light Rail,5101
2024-01,Sgl Trip LR Child/Youth,Light Rail,3566
2024-01,Sgl Trip Rail Adult,Metro,4261
2024-01,Sgl Trip Rail Adult,Train,91416
2024-01,Sgl Trip Rail Child/Youth,Metro,7488
2024-01,Sgl Trip Rail Child/Youth,Train,71657
2024-01,UNKNOWN,Light Rail,9
2024-01,UNKNOWN,Metro,1
2024-01,UNKNOWN,Train,12
2024-02,Adult,Ferry,439623
2024-02,Adult,Light Rail,1335960
2024-02,Adult,Metro,829981
2024-02,Adult,Train,11484876
2024-02,Adult,unallocated,238
2024-02,CTP,Ferry,834298
2024-02,CTP,Light Rail,1563894
2024-02,CTP,Metro,623196
2024-02,CTP,Train,10500907
2024-02,CTP,unallocated,368
2024-02,Child/Youth,Ferry,62236
2024-02,Child/Youth,Light Rail,118438
2024-02,Child/Youth,Metro,94236
2024-02,Child/Youth,Train,706430
2024-02,Concession,Ferry,20322
2024-02,Concession,Light Rail,288205
2024-02,Concession,Metro,154618
2024-02,Concession,Train,1277244
2024-02,Concession,unallocated,12
2024-02,Day Pass Child/Youth w/o SAF,Train,18
2024-02,Day Pass without SAF,Ferry,47
2024-02,Day Pass without SAF,Light Rail,63
2024-02,Day Pass without SAF,Metro,13
2024-02,Day Pass without SAF,Train,1160
2024-02,Employee,Ferry,4007
2024-02,Employee,Light Rail,8926
2024-02,Employee,Metro,9141
2024-02,Employee,Train,254095
